sigla;evento;Qualis_Final;
EuroPloP;European Conference on Pattern Languages of Programs;B2;
EuroSPI;European Conference on Software Process Improvement;B1;
EUROSYS;European Conference on Computer Systems;A1;
EuroVis;EG/VGTC Conference on Visualization;A1;
EUSFLAT;Conference of the European Society for Fuzzy Logic and Technology;B2;
EUSIPCO;European Signal Processing Conference;A2;
EVOAPPLICATIONS;European Conference on the Applications of Evolutionary Computation;A4;
EVOCOP;European Conference on Evolutionary Computation in Combinatorial Optimization;B2;
EWC;Embedded Word Conference;B4;
EWSDN;European Workshop on Software Defined Networks;B3;
EWSN;European Conference on Wireless Sensor Networks;B4;
EXP.AT;Experiment@ International Conference;B2;
FACS;International Conference on Formal Aspects of Component Software;A3;
FASE;International Conference on Fundamental Approaches to Software Engineering;A3;
FAST;USENIX Conference on File and Storage Technologies;A1;
FC;International Conference on Financial Cryptography and Data Security;A1;
FCCM;IEEE Annual International Symposium on Field-Programmable Custom Computing Machines;A2;
FCT;International Symposium on Fundamentals of Computation Theory;B3;
FCTA;International Conference on Fuzzy Computation Theory and Applications;B4;
FDG;Foundations of Digital Games;A3;
FDL;Forum on Specification and Design Languages;B4;
FECS;International Conference on Frontiers in Education: Computer Science and Computer Engineering;B3;
FEDCSIS;Federated Conference on Computer Science and Information Systems;A3;
FGR;IEEE International Conference on Automatic Face and Gesture Recognition;A1;
FiCloud;International Conference on Future Internet of Things and Cloud;A2;
FIE;IEEE Frontiers in Education Conference;A3;
FIT;International Conference on Forntiers of Information Technology;B1;
FLAIRS;International Florida Artificial Intelligence Conference;A4;
FLOPS;International Symposium on Functional and Logic Programming;B1;
FM;International Symposium on Formal Methods;A3;
FMCAD;International Conference on Formal Methods in Computer-Aided Design;A3;
FOCS;IEEE Annual Symposium on Foundations of Computer Science;A1;
FOIS;International Conference on Formal Ontology in Information Systems;B4;
FormaliSE;International Conference on Formal Methods in Software Engineering;B1;
FOSD;International Workshop on Feature-Oriented Software Development;B3;
FoSSaCS;International Conference on Foundations of Software Science and Computation Structures;A3;
FPGA;Symposium on Field Programmable Gate Arrays;A1;
FPL;International Conference on Field-Programmable Logic and Applications;A2;
FPT;IEEE International Conference on Field-Programmable Technology;A4;
FROCOS;International Symposium on Frontiers of Combining Systems;B1;
FSCD;International Conference on Formal Structures for Computation and Deduction;A3;
FSE;Fast Software Encryption;B3;
FSE/ESEC;Joint Meeting on European Software Engineering Conference and Foundations of Software Engineering;A1;
FSEN;International Conference on Fundamentals of Software Engineering;B3;
FSR;Conference on Field and Service Robotics;B4;
FTC;Future Technologies Conference;A4;
FUN;International Conference on Fun with Algorithms;B3;
FUSION;International Conference on Information Fusion;A2;
FUZZ;IEEE International Conference on Fuzzy Systems;A3;
GameSec;Conference on Decision and Game Theory for Security;A3;
GAS;International Workshop on Games and Software Engineering;B4;
GbRPR;International Workshop on Graph-Based Representations in Pattern Recognition;B2;
GECCO;Genetic and Evolutionary Computation Conference;A1;
GECON;International Conference on Economics of Grids, Clouds, Systems and Services;B2;
GEFI;Global Experimentation for Future Internet;B4;
GEM;IEEE Games, Entertainment, Media Conference;B1;
GeoAI;International Workshop on AI for Geographic Knowledge Discovery;B3;
