issn;periodico;Ajuste_SBC;link_scopus;percentil;Qualis_Final;data-atualizacao;data-tentativa;logs
0928-4931;MATERIALS SCIENCE & ENGINEERING. C, BIOMIMETIC MATERIALS, SENSORS AND SYSTEMS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17813;91;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0033-8419;RADIOLOGY;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17864;99;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1553-877X;IEEE COMMUNICATIONS SURVEYS AND TUTORIALS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17900156715;99;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1943-0620;JOURNAL OF OPTICAL COMMUNICATIONS AND NETWORKING (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17900156735;94;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0018-9219;PROCEEDINGS OF THE IEEE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17915;99;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1471-2105;BMC BIOINFORMATICS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17929;91;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1367-4803;BIOINFORMATICS (OXFORD. PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17945;99;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1467-5463;BRIEFINGS IN BIOINFORMATICS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17956;93;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0010-4825;COMPUTERS IN BIOLOGY AND MEDICINE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17957;88;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1545-5963;IEEE/ACM TRANSACTIONS ON COMPUTATIONAL BIOLOGY AND BIOINFORMATICS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17971;93;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0896-6273;NEURON (CAMBRIDGE, MASS.);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17978;97;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0142-0615;INTERNATIONAL JOURNAL OF ELECTRICAL POWER & ENERGY SYSTEMS;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17985;90;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1049-8923;INTERNATIONAL JOURNAL OF ROBUST AND NONLINEAR CONTROL (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=17987;90;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
1070-9932;IEEE ROBOTICS & AUTOMATION MAGAZINE;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=18027;89;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0263-5747;ROBOTICA (CAMBRIDGE. PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=18078;94;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0921-8890;ROBOTICS AND AUTONOMOUS SYSTEMS (PRINT);nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=18079;98;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
0736-5845;ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING;nulo;https://www.scopus.com/source/sourceInfo.url?sourceId=18080;99;A1;08/05/2023 21:52;08/05/2023 21:52;atualizado com sucesso
