ISSN UNIFICADO;ISSN;TÍTULO;ID ÁREA MÃE ;ÁREA MÃE
;0040-8735;TOHOKU MATHEMATICAL JOURNAL;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0041-6932;REVISTA DE LA UNIÓN MATEMÁTICA ARGENTINA (1968);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0041-8994;RENDICONTI DEL SEMINARIO MATEMATICO DELL'UNIVERSITÀ DI PADOVA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1420-9039;0044-2275;ZEITSCHRIFT FUR ANGEWANDTE MATHEMATIK UND PHYSIK (PRINTED ED.);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0044-4413;FASCICULI MATHEMATICI;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1212-5059;0044-8753;ARCHIVUM MATHEMATICUM (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0046-5755;GEOMETRIAE DEDICATA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0047-2468;JOURNAL OF GEOMETRY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0047-259X;JOURNAL OF MULTIVARIATE ANALYSIS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0049-4704;RENDICONTI DELL'ISTITUTO DI MATEMATICA DELL'UNIVERSITA DI TRIESTE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0065-1036;ACTA ARITHMETICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0065-9266;MEMOIRS OF THE AMERICAN MATHEMATICAL SOCIETY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0066-2216;ANNALES POLONICI MATHEMATICI;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0075-4102;JOURNAL FUR DIE REINE UND ANGEWANDTE MATHEMATIK;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0076-0552;LONDON MATHEMATICAL SOCIETY. LECTURE NOTE SERIES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0081-5438;PROCEEDINGS OF THE STEKLOV INSTITUTE OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0081-6906;STUDIA SCIENTIARUM MATHEMATICARUM HUNGARICA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0090-5364;ANNALS OF STATISTICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0091-1798;ANNALS OF PROBABILITY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1532-4125;0092-7872;COMMUNICATIONS IN ALGEBRA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0092-8240;BULLETIN OF MATHEMATICAL BIOLOGY (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0094-9655;JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0095-4616;APPLIED MATHEMATICS & OPTIMIZATION;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0095-7984;JOURNAL OF BLACK PSYCHOLOGY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0096-3003;APPLIED MATHEMATICS AND COMPUTATION;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0097-3165;JOURNAL OF COMBINATORIAL THEORY. SERIES A (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0102-4981;REVISTA DO PROFESSOR DE MATEMÁTICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0102-8545;MATEMÁTICA UNIVERSITÁRIA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0103-0752;BRAZILIAN JOURNAL OF PROBABILITY AND STATISTICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
2389-8976;0120-1751;REVISTA COLOMBIANA DE ESTADISTICA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0120-419X;INTEGRACIÓN - UIS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0126-6705;THE BULLETIN OF THE MALAYSIAN MATHEMATICAL SOCIETY (IMPRESSO);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0129-055X;REVIEWS IN MATHEMATICAL PHYSICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0129-167X;INTERNATIONAL JOURNAL OF MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0137-2904;REPORTS ON MATHEMATICAL LOGIC;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0137-6934;BANACH CENTER PUBLICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
0175-4874;0138-4821;CONTRIBUTIONS TO ALGEBRA AND GEOMETRY/BEITRAGE ZUR ALGEBRA UND GEOMETRIE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1469-4417;0143-3857;ERGODIC THEORY & DYNAMICAL SYSTEMS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1467-9892;0143-9782;JOURNAL OF TIME SERIES ANALYSIS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0146-4124;TOPOLOGY PROCEEDINGS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0163-0563;NUMERICAL FUNCTIONAL ANALYSIS AND OPTIMIZATION;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0165-0114;FUZZY SETS AND SYSTEMS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0166-8641;TOPOLOGY AND ITS APPLICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-2789;PHYSICA. D, NONLINEAR PHENOMENA (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-6377;OPERATIONS RESEARCH LETTERS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-6911;SYSTEMS & CONTROL LETTERS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-7152;STATISTICS & PROBABILITY LETTERS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-8019;ACTA APPLICANDAE MATHEMATICAE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-8396;COMPUTER AIDED GEOMETRIC DESIGN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0167-9473;COMPUTATIONAL STATISTICS & DATA ANALYSIS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0168-9274;APPLIED NUMERICAL MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1099-1476;0170-4214;MATHEMATICAL METHODS IN THE APPLIED SCIENCES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0176-4276;CONSTRUCTIVE APPROXIMATION;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0178-8051;PROBABILITY THEORY AND RELATED FIELDS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0179-5376;DISCRETE & COMPUTATIONAL GEOMETRY;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0188-7009;ADVANCES IN APPLIED CLIFFORD ALGEBRAS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1095-9971;0195-6698;EUROPEAN JOURNAL OF COMBINATORICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0196-8858;ADVANCES IN APPLIED MATHEMATICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0209-9683;COMBINATORICA (BUDAPEST. PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0213-2230;REVISTA MATEMÁTICA IBEROAMERICANA;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0213-8743;EXTRACTA MATHEMATICAE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0214-1493;PUBLICACIONS MATEMÀTIQUES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0214-1892;INTEGRACIÓN (MADRID);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0218-0006;ANNALS OF COMBINATORICS (PRINT);1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0218-1274;INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS IN APPLIED SCIENCES AND ENGINEERING;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0218-1967;INTERNATIONAL JOURNAL OF ALGEBRA AND COMPUTATION;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0218-2025;MATHEMATICAL MODELS AND METHODS IN APPLIED SCIENCES;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0218-2165;JOURNAL OF KNOT THEORY AND ITS RAMIFICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0218-5393;INTERNATIONAL JOURNAL OF RELIABILITY, QUALITY AND SAFETY ENGINEERING;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
1793-6322;0219-0249;INTERNATIONAL JOURNAL OF THEORETICAL AND APPLIED FINANCE;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-0613;JOURNAL OF MATHEMATICAL LOGIC;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-1997;COMMUNICATIONS IN CONTEMPORARY MATHEMATICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-4937;STOCHASTICS AND DYNAMICS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-4988;JOURNAL OF ALGEBRA AND ITS APPLICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-5305;ANALYSIS AND APPLICATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-6913;INTERNATIONAL JOURNAL OF WAVELETS, MULTIRESOLUTION AND INFORMATION PROCESSING;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0219-8916;JOURNAL OF HYPERBOLIC DIFFERENTIAL EQUATIONS;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
;0232-2064;ZEITSCHRIFT FUR ANALYSIS UND IHRE ANWENDUNGEN;1;MATEMÁTICA / PROBABILIDADE E ESTATÍSTICA
